Dutch,English
ik,I
je,you
het,It
de,the
dat,that
is,is
een,An
niet,not 
en,and
van,by
wat,what
we,we
in,in
ze,she
hij,he
te,at
zijn,are
op,on
maar,but
er,there
met,of
voor,for
die,That
heb,have
me,me
als,when
was,used to be
ben,am
om,to
dit,this
mijn,mine
aan,On
u,you
dan,than
n,n
naar,Unpleasant
weet,know
hier,here
zo,Like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want to
hebben,to have
goed,Good
haar,her
nee,no
hoe,how
nu,now
waar,Where
over,about
ook,also
doen,doing
uit,out 
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,bee
al,already
ons,us
had,had
iets,something
daar,over there
jullie,you
gaat,go
zal,shall
m,m
hebt,have
kom,bowl
waarom,Why
meer,more
deze,this
moeten,must
t,t
laat,leave
kunnen,be able to
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,Real
doe,off
door,Through
alleen,only
s,s
toch,However
zien,to see
weg,away
eens,at sometime
man,man
misschien,maybe
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,comes
toen,when
veel,a lot of
even,for a bit
onze,our
gewoon,Ordinary
weten,know
komen,come
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,weather
leven,to live
twee,two
net,just
tegen,in return for
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
z,Z
hou,keep
kijk,look
heel,all
wij,We
altijd,always
mag,allowed
gedaan,done
dood,dead
zeker,Certainly
af,off
jaar,year
hun,their
wilde,wild
dag,day
allemaal,all
jouw,your
huis,house
dacht,thought
doet,do
vader,father
kunt,can
wacht,guard
zie,see 
vrouw,woman
keer,time
andere,Others
zoals,as
zij,she
dank,thanks
anders,otherwise
geef,give
waren,goods
willen,want
zich,himself
bedankt,Thank you
één,An
mr,MR
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everyone
beter,better
werd,became
moeder,mother
niemand,no one
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,inside
zitten,to sit
zullen,shall
na,after
helpen,to help
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,fixed
elkaar,each other
ging,went
uur,o'clock
klaar,finished
hele,whole
neem,take
leuk,nice
natuurlijk,Naturally
alle,all
god,God
maak,make
lang,long
kwam,came
graag,Please
hé,Hey
toe,ate
drie,three
zegt,say
bedoel,mean
deed,held
dingen,stuff
maakt,makes
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,still
hallo,Hello
houden,to hold
vertellen,narrate
ziet,sees
idee,idea
geven,to give
achter,behind
geweest,been
blijven,to stay
helemaal,absolutely
mooi,Nice
onder,below
kijken,to look
zag,saw
goede,good  
naam,name
moest,had to
blijf,stay
kun,abundance
auto,car
luister,listen
grote,great
lijkt,seems
snel,fast
ooit,ever 
vragen,to ask
paar,couple
wanneer,when
want,because
meneer,sir
nieuwe,new ones
gebeurd,happened
zorgen,to assure
vriend,friend
beetje,bit
kinderen,children
gek,crazy
hand,hand
vraag,ask
laatste,last
geweldig,awesome
hadden,had
zelfs,even
enige,any
bang,anxious
nemen,to take
samen,together
eten,to eat
o,O
zelf,yourself
hoor,hear
geleden,past
staan,to stand
gevonden,found it
jongen,boy
denken,think
vandaag,Today
denkt,thinks
beste,Best
gezegd,said
thuis,At home
wereld,world
jongens,boys
heen,to
ken,know
hen,them
eerst,first
eigen,own
zoon,son
gelijk,directly
buiten,outside
vertel,tell
morgen,tomorrow
meisje,girl
probleem,problem
alsof,as if
geloof,believe
halen,to fetch 
familie,family
elke,each  
zouden,would
hoop,heap
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,to work
verdomme,damn
horen,to belong
manier,way
zat,fed up
vrienden,friends
precies,precisely
kind,child
hè,Hey
kleine,little
begrijp,understand
wou,wish
geeft,gives
orde,order
houdt,holds
verder,further
vroeg,early
stop,Stop
wachten,to wait
rustig,Calm
hoofd,head
krijg,get
daarom,therefore
gebeurt,happens
soms,sometimes
volgens,according to
dagen,to dawn
vond,found
krijgt,gets
gemaakt,made
kant,side
werkt,works
open,Open
gehad,having
voel,feel
zaak,case
blij,pleased
volgende,next one
zoek,search
kans,opportunity
vanavond,this evening
bel,call
probeer,try
zoeken,to search
oude,old
ding,thing
moment,moment
best,best
tussen,between
plaats,place
pas,pass
gehoord,heard
vijf,five
verteld,told
zet,sets
prima,fine
hulp,staff
stad,city
vindt,finds
brengen,to take
pijn,pain
slecht,bad
geloven,to believe
eruit,out
minuten,minute
school,school
plan,plan
broer,brother
pak,business suit
jezelf,yourself
hoeveel,how many
kamer,room
betekent,means
spreken,speak
juist,correct
heet,is called
soort,kind
haal,get
ergens,somewhere
vier,four
gebruiken,to use
ligt,is
blijft,stays
welke,which
proberen,to attempt
dokter,doctor
agent,agent
help,Help
later,later
voordat,before
ogen,eyes
vrij,free
klopt,Correct
gaf,gave
foto,photo
word,become
zodat,so that
dochter,daughter
problemen,issues
plek,place
water,water
kent,knows
week,week
beginnen,to start
praat,talking
eerder,earlier
lk,lk
mis,mass
handen,hands
deur,door
baby,baby
bellen,to call
boven,upper
groot,big
echte,real
hoeft,needs
ie,ie
doden,kill
stoppen,fuses
moeilijk,difficult
dr,Dr.
sinds,since
land,land
spelen,to play
zoveel,so much
hetzelfde,the same
mevrouw,Madam
snap,snap
breng,bring
pakken,to take
druk,Busy
verhaal,story
lekker,Tasty
vrouwen,women
schat,Darling
vergeten,forget
gebeuren,to happen
ervan,of it
kreeg,got
waarschijnlijk,probably
hoi,Hi
mogelijk,possibly
mooie,nice
bloed,blood
wees,orphan
nacht,night
nieuws,news
bed,bed
liet,let
lopen,to walk
gelukkig,happy
waarheid,truth
reden,rode
papa,Daddy
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,concern
dollar,dollar
bezig,busy
voorbij,past
terwijl,while
sta,stand
zaken,Affairs
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,heart
zult,will
duidelijk,clearly
stel,couple
the,the
schiet,shooting
eraan,there
zes,six
begin,get started
gekomen,arrived
vol,full
vriendin,female friend
rond,round
voelt,feel
baas,boss
moord,murder
ander,other
klein,small
fijn,fine
jaren,years
mam,mam
lichaam,body
eerlijk,honestly
gezicht,sight
ver,far
wakker,wake -up
ouders,parents
zoiets,something like this
leren,to learn
telefoon,telephone
los,loose
per,per
mama,mom
nummer,number
fout,wrong
mogen,to be allowed to
meteen,immediately
slapen,to sleep
zeer,very
dezelfde,the same
liefde,love
alstublieft,Please
deel,part 
liggen,lie
erop,on top
vaak,often
vallen,traps
belangrijk,important
sterven,die
oud,old
neer,down
buurt,neighbourhood
langs,by
houd,loves
rest,rest
stond,was standing
sir,sir
begrepen,understood
drinken,drinks
team,team
vertelde,told
beneden,downstairs
vergeet,forgets
vooruit,ahead
mrs,Mrs.
hoort,belongs
baan,track
dicht,closed
inderdaad,indeed
geval,case
zetten,to make
oorlog,war
mezelf,myself
tijdens,during the day
john,John
maakte,feature
kennen,know
gebruikt,used
oke,Okay
geluk,luck
hey,hey
hield,kept
wapen,weapon
kop,head
vertrouwen,to trust
rust,peace
mond,mouth
weken,to soften
elk,each
betalen,pay
anderen,others
neemt,takes
recht,straight
nam,nam
jack,jacket
kantoor,office
gegeven,datum
ermee,with it
overal,everywhere
eén,An
daarna,then
tweede,second
onderzoek,research
welkom,welcome
hard,hard
liever,rather
bewijs,evidence
vanaf,from
aardig,nice
klootzak,asshole
stuk,piece
woord,word
veranderen,change
zin,sentence
straks,soon
vent,father
zus,sister
haat,hate
vandaan,from
miss,miss
lieverd,Darling
zichzelf,itself
nieuw,new
ontmoeten,Meet
werden,be
allebei,both
minder,fewer
pap,dad
nergens,nowhere
kwaad,angry
sam,sam
erin,there
ervoor,before
kerel,guy
gisteren,yesterday
ontmoet,meet
miljoen,million
ok,OK
film,movie
verloren,lost
probeerde,attempted
gebeld,called
new,new
antwoord,answer
noemen,to call
informatie,information
boek,book
stil,quiet
kapitein,captain
kwijt,lost
enkel,single
valt,fall
boos,angry
licht,light
geworden,have become
pa,pa
persoon,person
konden,alloy
beschermen,to protect
slechte,poor
ziekenhuis,Hopital
gevoel,feeling
gegaan,gone
voorzichtig,carefully
hond,dog
rijden,to ride
eindelijk,finally
gesproken,spoken
meisjes,girls
aarde,soil
ten,at
normaal,normal
grappig,funny
heren,Gentlemen
voelen,to feel
moordenaar,killer
mens,man
president,president
nogal,rather
gevangenis,jail
loopt,runs
degene,the one
prachtig,beautiful
hoezo,how so
kopen,to buy
vechten,to fight
punt,point
vreemd,foreign
trouwen,to marry
contact,Contact
verkeerd,wrong
meen,mean
koffie,coffee
verwacht,expected
schip,ship
ziek,ill
plezier,pleasure
einde,end
stap,step
advocaat,lawyer
begint,begins
begon,began
enkele,a few
erbij,there
gang,course
gebeurde,happened
heer,gentleman
herinner,remember
jezus,Jesus
opnieuw,again
serieus,serious
zomaar,just like that
pardon,excuse me
gevraagd,sought -after
controle,check
getrouwd,married
daarmee,with that
spel,game
bedoelt,intended
perfect,perfect
stellen,set
juiste,right one
koning,king
beloof,promise
grond,ground
waard,worth
winnen,to win
nadat,once
gebruik,usage
naartoe,to
begrijpen,to understand
veranderd,changed
acht,eight
he,Hey
gingen,used to go
kwamen,arrive
leeft,lives
leg,put
gekregen,got
langer,longer
verliezen,to lose
vroeger,earlier
lucht,sky
wapens,weapons
verlaten,to leave
probeert,tries
dames,ladies
seks,sex
schieten,to shoot
toekomst,future
behalve,except
slim,smart
meest,most
stuur,send
leger,army
woorden,words
zeven,seven
brengt,brings
charlie,Charlie
half,half
hierheen,here
trots,pride
spullen,stuff
geheim,secret
helpt,helps
vraagt,requires
michael,Michael
weinig,few
ongeveer,about
schatje,darling
sommige,some
makkelijk,comfortable
kracht,power
gedood,killed
gestolen,stolen
tenminste,at least
lange,long
ongeluk,accident
frank,Frank
zodra,as soon
werkte,worked
wilden,wild ones
eet,eat
slechts,only
lief,sweet
nietwaar,not true
relatie,relation
trek,migration
afgelopen,last
val,fall
volgen,to follow
ter,ter
voelde,felt
bekend,known
bewijzen,prove
hoef,hoof
via,through
oom,uncle
loop,run
belde,call
lijken,corpses
sturen,to steer
men,men
slachtoffer,victim
george,George
genomen,taken
maand,month
onzin,nonsense
meid,girl
york,york
erger,worse
idioot,idiot
ziens,see
dienst,employ
erover,over
feest,party
leek,seemed
vreselijk,horrible
eentje,one
gevaar,danger
wonen,live
grootste,great
succes,good luck
vertrekken,to leave
jawel,Yes
muziek,music
mocht,for
raar,weird
slaap,sleep
joe,Joe
absoluut,absolute
vorige,previous
ruimte,room
ieder,everyone
schuldig,guilty
goeie,good
begonnen,started
luisteren,listen
sterk,strong
omhoog,upwards
totdat,until
afspraak,appointment
lezen,read
zwarte,black
vanwege,because of
hemel,heaven
tenzij,unless
gisteravond,yesterday evening
begrijpt,understand
ene,one
lag,lag
naast,next
vooral,mainly
fantastisch,fantastic
gered,saved
viel,fell
trouwens,Incidentally
uh,uh
bank,Bank
pistool,pistol
noem,call
bedrijf,company
camera,camera
blijkbaar,evidently
woont,lives
verkopen,to sell
beide,both
zolang,so long
straat,street
mike,Mike
geest,spirit
david,David
